,name,sigma,scale,fidelity,n_segs,img_num
0,felzenszwalb,10,10,0.18695581232717062,102,0
1,felzenszwalb,100,10,0.24398473030821496,149,0
2,felzenszwalb,10,25,0.10364775478235544,34,0
3,felzenszwalb,100,25,0.1568177267252806,87,0
4,felzenszwalb,10,10,0.3058960303677781,170,1
5,felzenszwalb,100,10,0.9998740927845461,2,1
6,felzenszwalb,10,25,0.3314243627861716,52,1
7,felzenszwalb,100,25,0.2716002587207835,1,1
8,felzenszwalb,10,10,0.15668118705205714,91,2
9,felzenszwalb,100,10,0.5734084271934818,118,2
10,felzenszwalb,10,25,0.22025811064324718,25,2
11,felzenszwalb,100,25,0.2711834369948187,1,2
12,felzenszwalb,10,10,0.2714997991865252,168,3
13,felzenszwalb,100,10,0.8498738813191065,3,3
14,felzenszwalb,10,25,0.1966286096468386,56,3
15,felzenszwalb,100,25,0.2711834369948187,1,3
16,felzenszwalb,10,10,0.312466728193047,184,4
17,felzenszwalb,100,10,0.3352531480277302,193,4
18,felzenszwalb,10,25,0.1777203250829772,93,4
19,felzenszwalb,100,25,0.3126825050718507,182,4
20,felzenszwalb,10,10,0.18968048270572557,80,5
21,felzenszwalb,100,10,0.9999105481460268,3,5
22,felzenszwalb,10,25,0.45864058247399747,23,5
23,felzenszwalb,100,25,0.2555043190878644,1,5
24,felzenszwalb,10,10,0.25331757597876925,139,6
25,felzenszwalb,100,10,0.9990488594560432,2,6
26,felzenszwalb,10,25,0.14423290741185013,32,6
27,felzenszwalb,100,25,0.2669953377300722,1,6
28,felzenszwalb,10,10,0.20791858315370315,125,7
29,felzenszwalb,100,10,0.27076625498212414,1,7
30,felzenszwalb,10,25,0.08653508062851012,40,7
31,felzenszwalb,100,25,0.26149627982422974,1,7
32,felzenszwalb,10,10,0.28912251470479877,71,8
33,felzenszwalb,100,10,0.48743078060623146,3,8
34,felzenszwalb,10,25,0.9687935750102334,20,8
35,felzenszwalb,100,25,0.25765269530426427,1,8
36,felzenszwalb,10,10,0.17484570880620698,105,9
37,felzenszwalb,100,10,0.2542107897798813,1,9
38,felzenszwalb,10,25,0.4119667106977249,32,9
39,felzenszwalb,100,25,0.2682555744621581,1,9
40,felzenszwalb,10,10,0.18550338821413903,96,10
41,felzenszwalb,100,10,0.9998749017466422,2,10
42,felzenszwalb,10,25,0.6720681016847377,28,10
43,felzenszwalb,100,25,0.9998568876786421,2,10
44,felzenszwalb,10,10,0.11162376186231615,54,11
45,felzenszwalb,100,10,0.268255574462158,1,11
46,felzenszwalb,10,25,0.4273969352752013,15,11
47,felzenszwalb,100,25,0.25334655330804023,1,11
48,felzenszwalb,10,10,0.3902961974124174,170,12
49,felzenszwalb,100,10,0.9998932711010821,2,12
50,felzenszwalb,10,25,0.561247440355906,65,12
51,felzenszwalb,100,25,0.2593646714487682,1,12
52,felzenszwalb,10,10,0.175194886101812,97,13
53,felzenszwalb,100,10,0.14793060215022102,73,13
54,felzenszwalb,10,25,0.0765955065527576,35,13
55,felzenszwalb,100,25,0.9995532410501465,2,13
56,felzenszwalb,10,10,0.2476429925223501,141,14
57,felzenszwalb,100,10,0.24607812385275885,140,14
58,felzenszwalb,10,25,0.13786948841846458,41,14
59,felzenszwalb,100,25,0.16194127387863022,90,14
60,felzenszwalb,10,10,0.16102557123253403,84,15
61,felzenszwalb,100,10,0.9995031189184724,2,15
62,felzenszwalb,10,25,0.1867778126204163,30,15
63,felzenszwalb,100,25,0.27243282293343984,1,15
