,name,ratio,k_size,max_dist,fidelity,n_segs,img_num
0,quickshift,0.01,3,100,0.21464208400936358,69,0
1,quickshift,0.01,3,1000,0.225642763960899,69,0
2,quickshift,0.01,8,100,0.47806844854713026,10,0
3,quickshift,0.01,8,1000,0.48552429409606956,10,0
4,quickshift,0.2,3,100,0.26305321798811787,73,0
5,quickshift,0.2,3,1000,0.22868919318294034,73,0
6,quickshift,0.2,8,100,0.5077595285104528,11,0
7,quickshift,0.2,8,1000,0.5321921309967615,11,0
8,quickshift,0.01,3,100,0.2711700883136655,62,1
9,quickshift,0.01,3,1000,0.26801739933694424,62,1
10,quickshift,0.01,8,100,0.6056628897378866,10,1
11,quickshift,0.01,8,1000,0.6253143901637466,10,1
12,quickshift,0.2,3,100,0.30906706527744243,62,1
13,quickshift,0.2,3,1000,0.35022537526434494,62,1
14,quickshift,0.2,8,100,0.6263570811955251,10,1
15,quickshift,0.2,8,1000,0.6197778186508821,10,1
16,quickshift,0.01,3,100,0.11047448265139936,49,2
17,quickshift,0.01,3,1000,0.09858942326834474,49,2
18,quickshift,0.01,8,100,0.2848440677187106,9,2
19,quickshift,0.01,8,1000,0.35948753787066645,9,2
20,quickshift,0.2,3,100,0.10766644273673454,52,2
21,quickshift,0.2,3,1000,0.1067384395170653,52,2
22,quickshift,0.2,8,100,0.34444206815664713,11,2
23,quickshift,0.2,8,1000,0.35146572088842387,11,2
24,quickshift,0.01,3,100,0.14442675408520256,63,3
25,quickshift,0.01,3,1000,0.11806221141375495,63,3
26,quickshift,0.01,8,100,0.4974188675874508,7,3
27,quickshift,0.01,8,1000,0.49766699029327705,7,3
28,quickshift,0.2,3,100,0.12588473190504967,72,3
29,quickshift,0.2,3,1000,0.13073143109295238,72,3
30,quickshift,0.2,8,100,0.273440625823548,10,3
31,quickshift,0.2,8,1000,0.25794017610895503,10,3
32,quickshift,0.01,3,100,0.2336692539712294,61,4
33,quickshift,0.01,3,1000,0.23531574755795892,61,4
34,quickshift,0.01,8,100,0.7484084377679305,7,4
35,quickshift,0.01,8,1000,0.7683931338672726,7,4
36,quickshift,0.2,3,100,0.20848320090914974,58,4
37,quickshift,0.2,3,1000,0.25733460158188004,58,4
38,quickshift,0.2,8,100,0.6571173386435738,8,4
39,quickshift,0.2,8,1000,0.7006909844052618,8,4
40,quickshift,0.01,3,100,0.17308444104457166,69,5
41,quickshift,0.01,3,1000,0.16577630586795922,69,5
42,quickshift,0.01,8,100,0.6627778110038313,7,5
43,quickshift,0.01,8,1000,0.6612607515006297,7,5
44,quickshift,0.2,3,100,0.2746059424111358,71,5
45,quickshift,0.2,3,1000,0.29226912387399184,71,5
46,quickshift,0.2,8,100,0.6529415609572687,10,5
47,quickshift,0.2,8,1000,0.6553420920824661,10,5
48,quickshift,0.01,3,100,0.12740715729357688,73,6
49,quickshift,0.01,3,1000,0.13132260418509245,73,6
50,quickshift,0.01,8,100,0.1404641753225262,10,6
51,quickshift,0.01,8,1000,0.22475744752552437,10,6
52,quickshift,0.2,3,100,0.13610474350658075,76,6
53,quickshift,0.2,3,1000,0.14141416434039045,76,6
54,quickshift,0.2,8,100,0.2562336404279659,9,6
55,quickshift,0.2,8,1000,0.27405012770464876,9,6
56,quickshift,0.01,3,100,0.10749074251046044,53,7
57,quickshift,0.01,3,1000,0.09338374479732546,53,7
58,quickshift,0.01,8,100,0.35755111924198124,6,7
59,quickshift,0.01,8,1000,0.40868447949089376,6,7
60,quickshift,0.2,3,100,0.10864377468606312,59,7
61,quickshift,0.2,3,1000,0.11767400099941794,59,7
62,quickshift,0.2,8,100,0.2559502435629063,7,7
63,quickshift,0.2,8,1000,0.23209735096463335,7,7
64,quickshift,0.01,3,100,0.2741817314874536,59,8
65,quickshift,0.01,3,1000,0.2656725907519504,59,8
66,quickshift,0.01,8,100,0.6156725939033104,11,8
67,quickshift,0.01,8,1000,0.5957443325159113,11,8
68,quickshift,0.2,3,100,0.281732020369449,60,8
69,quickshift,0.2,3,1000,0.23258041506405344,60,8
70,quickshift,0.2,8,100,0.5552800820509793,12,8
71,quickshift,0.2,8,1000,0.549335613179152,12,8
72,quickshift,0.01,3,100,0.1398893336610446,43,9
73,quickshift,0.01,3,1000,0.13753469661749496,43,9
74,quickshift,0.01,8,100,0.46191704380346166,10,9
75,quickshift,0.01,8,1000,0.4849842170636205,10,9
76,quickshift,0.2,3,100,0.13776779069525136,43,9
77,quickshift,0.2,3,1000,0.21952003385044627,43,9
78,quickshift,0.2,8,100,0.4504898946353847,10,9
79,quickshift,0.2,8,1000,0.4515413719916123,10,9
80,quickshift,0.01,3,100,0.28839344053251725,49,10
81,quickshift,0.01,3,1000,0.318161969290204,49,10
82,quickshift,0.01,8,100,0.7233703800435299,10,10
83,quickshift,0.01,8,1000,0.7297802258229044,10,10
84,quickshift,0.2,3,100,0.2552253916502477,49,10
85,quickshift,0.2,3,1000,0.2604021880715989,49,10
86,quickshift,0.2,8,100,0.6557306350699905,10,10
87,quickshift,0.2,8,1000,0.6303075920987911,10,10
88,quickshift,0.01,3,100,0.17165042367960615,77,11
89,quickshift,0.01,3,1000,0.20780348336209886,77,11
90,quickshift,0.01,8,100,0.321217169081048,8,11
91,quickshift,0.01,8,1000,0.34351826159537713,8,11
92,quickshift,0.2,3,100,0.19374792477023084,87,11
93,quickshift,0.2,3,1000,0.18368038840774092,87,11
94,quickshift,0.2,8,100,0.26236212080874544,8,11
95,quickshift,0.2,8,1000,0.2579376910372587,8,11
96,quickshift,0.01,3,100,0.4419945585138398,55,12
97,quickshift,0.01,3,1000,0.42646379734361556,55,12
98,quickshift,0.01,8,100,0.7206034795039614,8,12
99,quickshift,0.01,8,1000,0.7235343756082434,8,12
100,quickshift,0.2,3,100,0.5050313154400238,62,12
101,quickshift,0.2,3,1000,0.4679086929358713,62,12
102,quickshift,0.2,8,100,0.5914293490309989,9,12
103,quickshift,0.2,8,1000,0.5909198577572681,9,12
104,quickshift,0.01,3,100,0.1661487442760885,75,13
105,quickshift,0.01,3,1000,0.15770624920030474,75,13
106,quickshift,0.01,8,100,0.2501266094514544,8,13
