,name,compactness,n_segments,fidelity,n_segs,img_num
0,slic,0.1,10,0.9992155794708105,2,0
1,slic,1.0,10,0.9992924093981451,2,0
2,slic,10.0,10,0.35464414655751025,6,0
3,slic,0.1,40,0.9137299352879444,7,0
4,slic,1.0,40,0.9317052555586219,8,0
5,slic,10.0,40,0.3768528934026987,22,0
6,slic,0.1,10,0.9548242782067262,3,1
7,slic,1.0,10,0.9764009558339735,3,1
8,slic,10.0,10,0.8876131547655424,3,1
9,slic,0.1,40,0.9286372817793965,4,1
10,slic,1.0,40,0.9919289766248816,4,1
11,slic,10.0,40,0.5513921725247102,16,1
12,slic,0.1,10,0.9997916761012403,2,2
13,slic,1.0,10,0.9997912035788522,2,2
14,slic,10.0,10,0.6855157400437111,5,2
15,slic,0.1,40,0.14803614930977282,22,2
16,slic,1.0,40,0.170323668585744,22,2
17,slic,10.0,40,0.06556003362447305,28,2
18,slic,0.1,10,0.7496743537871238,3,3
19,slic,1.0,10,0.7503358569481812,3,3
20,slic,10.0,10,0.5357996078964278,4,3
21,slic,0.1,40,0.130579027867048,16,3
22,slic,1.0,40,0.17234138432899737,16,3
23,slic,10.0,40,0.05693970598610376,26,3
24,slic,0.1,10,0.7758221352975679,5,4
25,slic,1.0,10,0.9871481622002631,5,4
26,slic,10.0,10,0.6294728191272443,7,4
27,slic,0.1,40,0.3050969378034747,26,4
28,slic,1.0,40,0.4691155630135957,26,4
29,slic,10.0,40,0.3507357606879412,30,4
30,slic,0.1,10,0.6539418450973331,3,5
31,slic,1.0,10,0.6931613087167284,3,5
32,slic,10.0,10,0.7211697071265732,6,5
33,slic,0.1,40,0.6276764231207619,7,5
34,slic,1.0,40,0.6315959809973465,7,5
35,slic,10.0,40,0.2974291931511658,26,5
36,slic,0.1,10,0.3869839935696409,6,6
37,slic,1.0,10,0.5638596823061377,6,6
38,slic,10.0,10,0.8690629469149088,6,6
39,slic,0.1,40,0.27124757406935696,18,6
40,slic,1.0,40,0.27883324102903684,19,6
41,slic,10.0,40,0.17574011000444267,31,6
42,slic,0.1,10,0.2516135442820233,1,7
43,slic,1.0,10,0.27034871228675506,1,7
44,slic,10.0,10,0.6933169688382412,3,7
45,slic,0.1,40,0.15515072253340023,16,7
46,slic,1.0,40,0.06136946070833649,18,7
47,slic,10.0,40,0.06446296769771731,30,7
48,slic,0.1,10,0.812064214092178,4,8
49,slic,1.0,10,0.8259805260355793,4,8
50,slic,10.0,10,0.6041243544867851,7,8
51,slic,0.1,40,0.5154116078607109,18,8
52,slic,1.0,40,0.5137177334597869,18,8
53,slic,10.0,40,0.37753221685663285,28,8
54,slic,0.1,10,0.7022098400078399,5,9
55,slic,1.0,10,0.7022908425342568,5,9
56,slic,10.0,10,0.7682585944229443,7,9
57,slic,0.1,40,0.5346081686212072,16,9
58,slic,1.0,40,0.39640416167702075,16,9
59,slic,10.0,40,0.31891695564212785,30,9
60,slic,0.1,10,0.9999304751270862,6,10
61,slic,1.0,10,0.9999250468492618,6,10
62,slic,10.0,10,0.8911731496774511,7,10
63,slic,0.1,40,0.4950004781951451,25,10
64,slic,1.0,40,0.48543196396004956,24,10
65,slic,10.0,40,0.34255884029936157,31,10
66,slic,0.1,10,0.2597917349970261,1,11
67,slic,1.0,10,0.2661533589562104,1,11
68,slic,10.0,10,0.658319652172508,5,11
69,slic,0.1,40,0.99976333173907,3,11
70,slic,1.0,40,0.9990475992000529,3,11
71,slic,10.0,40,0.2810252872939656,17,11
72,slic,0.1,10,0.9999273189235267,5,12
73,slic,1.0,10,0.9999226677710413,5,12
74,slic,10.0,10,0.499850442076194,5,12
75,slic,0.1,40,0.5704903816936537,20,12
76,slic,1.0,40,0.6480304784562756,20,12
77,slic,10.0,40,0.6973776633998502,24,12
78,slic,0.1,10,0.2585094284644348,1,13
79,slic,1.0,10,0.2576526951594045,1,13
80,slic,10.0,10,0.272016720439185,1,13
81,slic,0.1,40,0.27118343686095636,1,13
82,slic,1.0,40,0.26361864593795736,1,13
83,slic,10.0,40,0.6129609470640722,4,13
84,slic,0.1,10,0.9994653298423652,2,14
85,slic,1.0,10,0.9994151770366254,2,14
86,slic,10.0,10,0.5345675948661821,6,14
87,slic,0.1,40,0.6368400391206412,10,14
88,slic,1.0,40,0.5517128225618892,10,14
89,slic,10.0,40,0.1250834316370254,23,14
90,slic,0.1,10,0.25377886018324836,1,15
91,slic,1.0,10,0.26573182205359824,1,15
92,slic,10.0,10,0.5900638216863929,4,15
93,slic,0.1,40,0.5734861143273644,6,15
94,slic,1.0,40,0.7203430434272349,6,15
95,slic,10.0,40,0.15967934537021866,21,15
96,slic,0.1,10,0.9999091014109989,3,16
97,slic,1.0,10,0.9998982292592492,3,16
98,slic,10.0,10,0.8249510938052497,6,16
99,slic,0.1,40,0.5614362617868771,19,16
